id,author_cn_name,author_en_name,author_org,backups
103666,孙立娟,,统计学院,统计学
103667,上官丕亮,,法学院,法学
103668,张毅,,国际关系学院,政治学
103669,刘哲希,"Liu, Zhexi",经济学院,理论经济学
103670,张旭东,,马克思主义学院,马克思主义理论
103671,李敏,,财政金融学院,应用经济学
103672,张晨,"Zhang, Chen",经济学院,理论经济学
103673,冯玉军,,国家发展与战略研究院,应用经济学
103674,胡娟,,法学院,法学
103675,袁航,,社会与人口学院,社会学
103676,孙波,,哲学院,哲学
103677,阚铄,,应用经济学院,应用经济学
103678,张阳阳,,应用经济学院,应用经济学
103679,杨蕊,,公共管理学院,公共管理
103680,吴著,,公共管理学院,公共管理
103681,陈璐,,哲学院,哲学
103682,关伟,,应用经济学院,应用经济学
103683,康超,,商学院,工商管理
103684,尹银,,社会与人口学院,社会学
103685,徐君,,公共管理学院,公共管理
103686,王振东,"Wang, Zhendong",法学院,法学
103687,李海洋,,马克思主义学院,马克思主义理论
103688,辛东兴,,信息学院,计算机科学与技术
103689,赵义华,,公共管理学院,公共管理
103690,李建为,,文学院,中国语言文学
103691,喻智健,,环境学院,环境科学与工程
103692,刘进,,商学院,工商管理
103693,陈森斌,,社会与人口学院,社会学
103694,江鸿,,新闻学院,新闻传播学
103695,高强,,农业与农村发展学院,农林经济管理
103696,魏秋萍,"Wei, Qiuping",统计学院,统计学
