author_min,author_max,zw_cooper_num,scopus_cooper_num,total_cooper_num,interdiscipline
101117,116100,0,29,29,0
91068,92393,1,0,1,0
92728,107463,1,0,1,0
102288,113259,0,1,1,0
102457,106877,1,0,1,0
102468,109923,5,0,5,0
91542,107463,1,0,1,0
101117,116107,0,1,1,0
95057,115929,0,2,2,0
93142,94043,1,0,1,0
93701,109841,1,0,1,0
99955,107106,1,0,1,0
107522,110698,1,0,1,0
90135,106824,1,0,1,0
109710,115157,0,5,5,0
89277,98550,1,0,1,0
99684,104375,0,1,1,1
94272,99535,0,1,1,0
91733,93282,1,0,1,0
96780,106436,1,0,1,0
100964,110033,1,0,1,0
91068,92391,1,0,1,0
97582,109116,2,0,2,0
98023,106582,1,0,1,0
89105,89108,1,0,1,0
105062,115647,0,2,2,1
89126,103932,4,0,4,0
96886,99665,1,0,1,0
108332,110642,1,0,1,0
113614,116301,0,2,2,0
93267,102028,1,4,5,0
98025,98497,1,0,1,0
103511,107640,1,0,1,0
106363,109022,1,1,2,0
89115,109263,1,0,1,0
89657,108522,1,0,1,1
107952,108392,1,0,1,0
99434,110088,11,21,32,0
101060,103661,0,1,1,0
99434,110089,1,2,3,0
96894,103099,1,0,1,0
102453,104722,2,0,2,1
96958,107373,1,0,1,1
112582,114792,0,1,1,0
92785,115303,0,1,1,0
98998,101930,4,0,4,0
90406,98437,1,1,2,0
93596,108064,1,0,1,0
107558,114688,0,14,14,1
106614,109324,9,0,9,0
112911,116055,0,5,5,0
109960,112807,0,1,1,0
90395,106011,3,0,3,0
93122,108272,1,0,1,0
109710,115137,0,1,1,0
91898,104479,1,0,1,0
96731,105209,1,0,1,0
98838,107076,1,0,1,0
91489,114160,0,1,1,1
103888,113041,0,1,1,1
90006,109350,1,0,1,0
89331,99106,1,0,1,0
97647,109612,1,0,1,0
92468,107598,0,1,1,0
93568,108190,1,0,1,0
91357,113271,0,1,1,0
96006,105994,1,0,1,0
101447,104184,1,0,1,0
109982,116323,0,2,2,0
97636,104149,1,0,1,0
93431,112695,0,1,1,0
114136,114146,0,1,1,0
92204,101131,1,0,1,0
99219,104957,1,0,1,0
104511,109611,1,0,1,0
102255,115122,0,1,1,0
98544,106904,3,1,4,0
99291,107655,1,0,1,0
99966,113628,0,1,1,0
92785,115491,0,1,1,0
89661,101359,1,0,1,0
104651,107440,1,0,1,0
89281,108799,3,0,3,0
91191,92504,1,0,1,0
114885,114918,0,1,1,1
100308,100401,1,0,1,0
98968,112891,0,2,2,0
101341,104698,1,0,1,0
112935,114812,0,1,1,0
107043,112935,0,1,1,0
115820,116395,0,1,1,0
96586,100996,0,2,2,0
114027,115957,0,1,1,0
91994,115869,0,1,1,0
92568,106544,6,0,6,0
89131,103797,2,0,2,0
100327,100815,1,0,1,1
91062,102294,1,0,1,0
86825,94824,1,0,1,1
97635,97636,1,0,1,0
99665,106385,5,0,5,0
90549,98266,2,0,2,0
94906,107739,1,0,1,0
100997,107241,1,0,1,0
90403,103933,1,0,1,0
100961,103400,4,0,4,0
96710,106491,0,3,3,0
89318,104033,1,0,1,0
107810,109342,2,0,2,0
102198,109178,1,0,1,0
106913,113015,0,1,1,1
103297,105070,4,0,4,0
91565,109740,1,0,1,0
100391,108856,1,0,1,0
96391,109335,1,0,1,0
95520,102607,1,0,1,0
